Vir,Kaj podpira,Preverjeno
https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,"WATT: 30+ aktivnih naročnikov, 15 FTE, 100k EUR MRR in navedeni klienti",2026-09-21
https://si.linkedin.com/jobs/view/projektni-vodja-at-watt-agency-4338395519,"WATT: Telekom, BTC City, Visit Ljubljana, Lesnina, Afrodita, HS+, Bird Buddy",2026-09-21
https://createable.si/ekipa,"Createable: Gorenje, Terme Snovik, Ljubljanske mlekarne, NLB Skladi; 2026 positioning",2026-09-21
https://buzztik.com/,BuzzTik: aktualno prikazani profili strank in testimonials,2026-09-21
https://www.tiktok-space.si/,"TikTok SPACE: Fari's, Mobistekla, Chorchyp",2026-09-21
https://3a-media.com/,3A Media: Borut Pahor kot javno prikazana referenca,2026-09-21
https://www.xodagency.com/our-work,XOD: trenutni portfolio in izbor projektov,2026-09-21
https://www.xodagency.com/our-work/taverneta-buzinel-estate,"XOD: Taverneta & Bužinel Estate, 2026",2026-09-21
https://www.xodagency.com/our-work/highlander-adventure-slovenia,XOD: Highlander 2025 vsebine za 2026 kampanjo,2026-09-21
https://www.xodagency.com/our-work/istrski-kolesarski-maraton-2025,XOD: Istrski kolesarski maraton 2025 / 2026 content library,2026-09-21
